id,title,difficulty,distance_m,duration_min,altitude_diff,altitude_start,has_rentals,lift_available,is_open,is_prepared,location,activity_type
smgpoid7e94e9182e1292e7b754950b27f08c3,Campanil,,,,,2055.0,0,0,1,0,Deutschnofen/Nova Ponente,9CBAC00246A8467E93DD66F3A1A9C594
dss_1765553116,Campanil,4,300.0,0.02,60.0,2000.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
dss_1849210,Campanil,2,850.0,0.06,120.0,2060.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
smgpoi692a6f7d37e2e832b9a7c263c0abadf7,Campanil,,,,,1940.0,0,0,1,0,Deutschnofen/Nova Ponente,6285F49DBBE04393BAD29E6EF219EB03
smgpoi046d896d897313dcd6c428a82c600010,Campanil,,,,,1940.0,0,0,1,0,Deutschnofen/Nova Ponente,6285F49DBBE04393BAD29E6EF219EB03
dss_588,Campanil,,496.0,0.03,116.0,1939.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
dss_1765553345,Campanil 2,4,300.0,0.02,60.0,2000.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
dss_699,Campetto,,116.0,0.02,29.0,1756.0,0,0,1,0,Unknown,activity
dss_663,Campigol,,514.0,0.08,94.0,1895.0,0,0,1,0,Urtijëi/Ortisei,activity
dss_86621,Campigol,2,590.0,0.05,95.0,,0,0,1,0,Unknown,activity
smgpoi5fe0755e59c9852c0ab0742ea5698978,Big ring Campiol,,,,,1804.0,0,0,1,0,Unknown,835EF4A6853F414DA9782607F01EEE48
dss_461,Campitello - Col Rodella,,2262.0,0.17,984.0,,0,0,1,0,Sëlva/Selva di Val Gardena,activity
dss_1679565690,Campitello - Col Rodella,,2262.0,0.06,984.0,,0,0,1,0,Unknown,activity
dss_79399715,Campitello - Pozza,,2262.0,0.2,984.0,,0,0,1,0,Sëlva/Selva di Val Gardena,activity
dss_1669967957,Campo,2,3097.0,0.23,730.0,,0,0,0,0,Unknown,activity
smgpoied44153dc5184221aae444964937d725,Campo,,,,,,0,0,0,0,Unknown,6285F49DBBE04393BAD29E6EF219EB03
dss_216084,Campo Freina,4,400.0,0.05,110.0,1568.0,0,0,1,0,Sëlva/Selva di Val Gardena,activity
dss_396,Campo Freina,,303.0,0.02,110.0,1568.0,0,0,1,0,Sëlva/Selva di Val Gardena,activity
dss_1679675148,Campo Freina,,303.0,0.03,110.0,,0,0,0,0,Unknown,activity
smgpoie65c540cf72d92ee130bf793402cfdbc,Campo Freina,,,,,1678.0,0,0,1,0,Sëlva/Selva di Val Gardena,6285F49DBBE04393BAD29E6EF219EB03
smgpoif8ba41e4cf797d042f95656989499c83,Campo Freina,,,,,1678.0,0,0,1,0,Sëlva/Selva di Val Gardena,9CBAC00246A8467E93DD66F3A1A9C594
dss_614,Campo - Lasté,,2105.0,0.12,485.0,,0,0,1,0,Unknown,chairlift 4 persons
dss_679,Campo - Lastè,,2105.0,0.12,485.0,1855.0,0,0,1,0,Unknown,activity
dss_613,Campo - Le Cune ,,1397.0,0.08,358.0,,0,0,1,0,Unknown,chairlift 4 persons
dss_678,Campo - Le Cune ,,1397.0,0.08,358.0,1855.0,0,0,1,0,Unknown,activity
dss_215778,Campolongo,4,1245.0,0.09,244.0,1839.0,0,0,1,0,Corvara,activity
dss_511,Campolongo,,939.0,0.05,238.0,,0,0,1,0,Corvara,activity
smgpoi19219fbb95ff869bc48b66877aa4e709,Campolongo,,,,,2083.0,0,0,1,0,Unknown,6285F49DBBE04393BAD29E6EF219EB03
dss_1674918416,Campolongo,,906.0,0.06,240.0,1855.0,0,0,1,0,Corvara,activity
smgpoiebe5ba77975d4902ba4a7251b1820934,Campolongo,,,,,1855.0,0,0,1,0,Unknown,9CBAC00246A8467E93DD66F3A1A9C594
dss_215771,Campo Scuola,2,2389.0,0.14,186.0,1476.0,0,0,1,0,Unknown,activity
smgpoi46f23121e3be4fdfab69e1ba061b9f24,Campo Scuola,,,,,,0,0,1,0,Unknown,6285F49DBBE04393BAD29E6EF219EB03
smgpoibd72b85260c84f67bf9428539bfe7669,Campo Scuola,,,,,0.0,0,0,1,0,Unknown,9CBAC00246A8467E93DD66F3A1A9C594
smgpoib048d4d1462af5c1d9a03b18f522684b,Campo Scuola,,,,,1662.0,0,0,1,0,Unknown,6285F49DBBE04393BAD29E6EF219EB03
dss_183140,Campo Scuola,2,386.0,0.06,52.0,,0,0,1,0,Unknown,activity
dss_528,Campo Scuola,,875.0,0.2,115.0,,0,0,1,0,Unknown,activity
dss_13503193,Campo scuola Ansiei,2,50.0,0.0,,,0,0,1,0,Unknown,activity
dss_6550890,Campo Scuola Baby,2,234.0,0.02,42.0,1456.0,0,0,1,0,Unknown,activity
dss_187098,Campo Scuola Campetto,2,138.0,0.01,9.0,1741.0,0,0,1,0,Unknown,activity
dss_184616,Campo Scuola Cermis,2,150.0,0.03,30.0,1990.0,0,0,1,0,Unknown,activity
dss_578,Campo Scuola Cermis,,177.0,0.03,199.0,1553.0,0,0,1,0,Unknown,activity
dss_186590,Campo scuola Chiesetta,2,80.0,0.0,,,0,0,1,0,Unknown,activity
dss_74107,Campo scuola Ciampedie,2,500.0,0.03,49.0,1946.0,0,0,1,0,Welschnofen/Nova Levante,activity
dss_482,Campo scuola Ciampedie,,365.0,0.07,50.0,1949.0,0,0,1,0,Welschnofen/Nova Levante,activity
dss_185181,,2,560.0,0.14,70.0,2020.0,0,0,1,0,Deutschnofen/Nova Ponente,winter
dss_216257,Campo Scuola Cimon,2,560.0,0.04,70.0,2020.0,0,0,1,0,Unknown,activity
dss_74091,Campo scuola Col da Fae',2,130.0,0.01,25.0,14125.0,0,0,1,0,Sëlva/Selva di Val Gardena,activity
dss_1764748160,,,100.0,0.0,50.0,,0,0,1,0,Unknown,activity
dss_41729982,Campo Scuola Doss dei Laresi,2,150.0,0.01,50.0,1270.0,0,0,1,0,Altrei/Anterivo,activity
smgpoi05c8c0ffac4ddada84d1c4ae5a194ebb,Campo Scuola Eben,,,,,1661.0,1,0,1,0,Deutschnofen/Nova Ponente,6285F49DBBE04393BAD29E6EF219EB03
dss_182255,Campo Scuola Eben,2,750.0,0.06,104.0,1557.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
dss_592,Campo Scuola Gardoné,,339.0,0.08,72.0,1654.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
dss_184943,Campo Scuola Gardoné,2,520.0,0.05,72.0,1650.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
smgpoi8520c6c609555f8b1389268567a73e57,Campo Scuola Gardoné,,,,,1650.0,0,0,1,0,Unknown,6285F49DBBE04393BAD29E6EF219EB03
smgpoi1fd78511c7b3b531f619713ef8444b59,Campo Scuola Gardoné,,,,,1726.0,0,0,1,0,Unknown,9CBAC00246A8467E93DD66F3A1A9C594
smgpoi25b9c83d6a9612c14f18cd407a549859,"CAMPO SCUOLA KM 1,6",,,,,1207.0,0,0,1,0,Unknown,835EF4A6853F414DA9782607F01EEE48
smgpoi093b8b9ac96e2ac2819f4e8f8559bc93,Campo scuola Latemar,,,,,1965.0,0,0,1,0,Deutschnofen/Nova Ponente,9CBAC00246A8467E93DD66F3A1A9C594
dss_586,Campo scuola Latemar,,357.0,0.05,43.0,1965.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
smgpoiabc62bf41d3c3120ba1a70b83ff7c76d,Campo Scuola Latemar,,,,,1960.0,0,0,1,0,Deutschnofen/Nova Ponente,6285F49DBBE04393BAD29E6EF219EB03
dss_184926,Campo Scuola Latemar,2,500.0,0.06,40.0,2000.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
dss_186579,Campo scuola Le Buse,2,271.0,0.02,65.0,,0,0,1,0,Unknown,activity
dss_186576,Campo Scuola Le Buse,2,453.0,0.0,75.0,,0,0,0,0,Unknown,winter
dss_691,Campo Scuola Mariaz,,295.0,0.04,44.0,,0,0,1,0,Unknown,activity
dss_6550876,Campo Scuola Mariaz,2,260.0,0.17,35.0,1444.0,0,0,1,0,Unknown,activity
dss_6550899,Campo Scuola Palma,2,241.0,0.0,25.0,1319.0,0,0,0,0,Badia,winter
dss_6550900,Campo Scuola S. Fosca,2,400.0,0.03,37.0,1360.0,0,0,1,0,Unknown,activity
dss_215849,Campo Scuola Socrepes,2,413.0,0.03,34.0,1334.0,0,0,0,0,Unknown,activity
dss_86602,Campo Scuola Valbona,2,180.0,0.01,35.0,1810.0,0,0,1,0,Unknown,activity
dss_676,Campo Scuola Valbona,,189.0,0.03,833.0,1371.0,0,0,1,0,Unknown,activity
dss_185180,,2,180.0,0.04,30.0,1850.0,0,0,1,0,Unknown,winter
dss_215850,Canalini 1,4,863.0,0.13,282.0,2208.0,0,0,0,0,Unknown,activity
dss_215847,Canalini 2,4,680.0,0.05,151.0,2459.0,0,0,0,0,Unknown,activity
dss_215851,Canalino,2,863.0,0.0,282.0,,0,0,0,0,Unknown,winter
dss_215852,Canalone,4,2040.0,0.1,431.0,1661.0,0,0,0,0,Unknown,activity
dss_215853,Canalone Franchetti,6,1055.0,0.14,339.0,2017.0,0,0,1,0,Unknown,activity
dss_613755,Canalone Tomba,6,350.0,0.03,80.0,2030.0,0,0,1,0,Welschnofen/Nova Levante,activity
dss_83612689,,6,400.0,0.0,,,0,0,0,0,Unknown,winter
dss_30122635,Canazei,4,1595.0,0.12,257.0,1504.0,0,0,1,0,Sëlva/Selva di Val Gardena,activity
dss_35597448,Canazei-Alba-Passo Fedaia,,,0.0,,,0,0,0,0,Unknown,activity
dss_450,Canazei - Pecol,,1264.0,0.1,481.0,1456.0,0,0,1,0,Sëlva/Selva di Val Gardena,activity
dss_1679565594,Canazei - Pecol,,1264.0,0.07,481.0,,0,0,1,0,Unknown,cabinet train
