id,en_title,activity_type,location,difficulty,distance_m,duration_min,summary,keywords,summary_source,hazard_flags,condition_flags,has_hazard,has_condition_info
smgpoi5412755933059ec0345a5c351dd61372,Winter hike on the Völser Aicha farm trail,climbing,Völs am Schlern/Fiè allo Sciliar,2,900.0,4.2,Climbing route in Völs am Schlern/Fiè allo Sciliar.,"winter hike, the völser aicha farm trail, winter, völser aicha",template,,,False,False
smgpoi218a8e19ce013063a37f0e5538a9428a,Winterhike arount Schenna on the Wiesenweg path,family,Schenna/Scena,2,900.0,4.2,Family route in Schenna/Scena.,"winterhike arount schenna, the wiesenweg path, schenna, wiesenweg",template,,family,False,True
smgpoi38e7953ab24f59c3631202226349bd1e,Winter hike on the frozen Lake Antholz,climbing,Rasen-Antholz/Rasun Anterselva,2,900.0,4.2,Climbing route in Rasen-Antholz/Rasun Anterselva.,"winter hike, the frozen lake antholz, winter, lake antholz",template,,,False,False
smgpoi1be2abc05d79560d5c58a6896147ce63,Winter hiking tour to Gols in Terenten,climbing,Terenten/Terento,2,900.0,4.2,Climbing route in Terenten/Terento.,"gols, winter hiking tour, terenten, winter",template,,,False,False
smgpoi5c61bc1ad85d9423582b38c12fef0098,Winter walk around the Kofel in Kastelruth,climbing,Kastelruth/Castelrotto,2,900.0,4.2,Climbing route in Kastelruth/Castelrotto.,"winter, kastelruth, the kofel, the kofel in",template,,,False,False
smgpoida5513b4ee99455e360aed0cff1aa93f,Winter hike on the Puflatsch,climbing,Kastelruth/Castelrotto,2,900.0,4.2,Climbing route in Kastelruth/Castelrotto.,"winter hike, the puflatsch, winter, puflatsch",template,,,False,False
smgpoi5ff235da39611b488eb95ba7fa9f64d1,Winter hiking path: Following in the tracks of the ancient romans,climbing,Kiens/Chienes,2,900.0,4.2,Climbing route in Kiens/Chienes.,"winter hiking path, the tracks, the ancient romans, winter",template,,,False,False
smgpoic2579a1fd462ae8e94f55f778b50d0cb,Winter hike on the Seiser Alm area,climbing,Urtijëi/Ortisei,2,900.0,4.2,Climbing route in Urtijëi/Ortisei.,"winter hike, the seiser alm area, winter, seiser alm",template,,,False,False
smgpoi9a64520a186bcc8cfa7ad1732bfeddf3_reduced,Winter hike on the Sissi Promenade in Karersee | Carezza,climbing,Welschnofen/Nova Levante,2,900.0,4.2,Climbing route in Welschnofen/Nova Levante.,"the sissi promenade, winter hike, karersee | carezza, winter, karersee",template,,,False,False
smgpoi644ae512a6ff66687a6ea0559a95a1df_reduced,Winter hike to the Frin meadows in Karersee | Carezza,hiking,Welschnofen/Nova Levante,2,900.0,4.2,Hiking route in Welschnofen/Nova Levante.,"winter hike, the frin meadows, karersee | carezza, winter, frin",template,,,False,False
smgpoia44d9e3d24f10822267e969243fb5dca,Winter hiking tour to the alpine lodge Gitschhütte,climbing,Vintl/Vandoies,2,900.0,4.2,Climbing route in Vintl/Vandoies.,"winter hiking tour, the alpine lodge gitschhütte, winter, gitschhütte",template,,,False,False
